Coluna 1,Coluna 2,Coluna 3,Coluna 4,Coluna 5,Coluna 6,Coluna 7,Coluna 8,Coluna 9,Coluna 10,Coluna 11,Coluna 12,Coluna 13,Coluna 14,Coluna 15,Coluna 16,Coluna 17,Coluna 18,Coluna 19,Coluna 20,Coluna 21,Coluna 22,Coluna 23,Coluna 24,Coluna 25,Coluna 26,Coluna 27,Coluna 28,Coluna 29,Coluna 30,Coluna 31,Coluna 32,Coluna 33,Coluna 34,Coluna 35,Coluna 36,Coluna 37,Coluna 38,Coluna 39,Coluna 40,Coluna 41,Coluna 42,Coluna 43,Coluna 44,Coluna 45,Coluna 46,Coluna 47,Coluna 48,Coluna 49,Coluna 50,Coluna 51,Coluna 52,Coluna 53,Coluna 54,Coluna 55,Coluna 56,Coluna 57,Coluna 58,Coluna 59,Coluna 60,Coluna 61,Coluna 62,Coluna 63,Coluna 64,Coluna 65,Coluna 66,Coluna 67,Coluna 68,Coluna 69,Coluna 70,Coluna 71,Coluna 72,Coluna 73,Coluna 74,Coluna 75,Coluna 76,Coluna 77,Coluna 78,Coluna 79,Coluna 80,Coluna 81,Coluna 82,Coluna 83,Coluna 84,Coluna 85,Coluna 86,Coluna 87,Coluna 88,Coluna 89,Coluna 90,Coluna 91,Coluna 92,Coluna 93,Coluna 94,Coluna 95,Coluna 96,Coluna 97,Coluna 98,Coluna 99,Coluna 100
79,0.828,npaam,9,0.608,wvmji,62,0.669,qsqbd,8,0.518,tpypb,76,0.504,hwkau,62,0.829,ofzwi,44,0.33,tciax,49,0.903,xrext,65,0.505,xkudx,4,0.281,ajdtl,42,0.679,qwrlp,0,0.224,jfsun,59,0.853,kenjy,73,0.332,hsfwe,49,0.214,verow,8,0.386,siddy,65,0.09,pqcsb,83,0.971,zydiv,98,0.405,elyom,87,0.375,uchps,98,0.088,kihzv,40,0.006,lvgxy,84,0.373,bbtnm,63,0.884,psoid,6,0.107,azpkc,68,0.658,jnvbj,50,0.368,tpcqq,21,0.53,bqzyn,47,0.579,hhmxd,7,0.971,jzxit,82,0.471,zover,46,0.14,buukt,94,0.056,fwwpf,89
48,0.167,pbtmd,54,0.622,sugjo,90,0.287,xblku,85,0.99,utwgw,25,0.647,kekte,97,0.209,vghhr,1,0.306,bvtco,67,0.976,lwjpv,98,0.665,fxgtj,71,0.257,slgyp,52,0.156,gtypi,12,0.09,eqxyx,92,0.506,zihdh,26,0.826,envwm,64,0.201,ggprc,76,0.485,mjebn,48,0.479,dpyqg,6,0.095,ysnee,12,0.565,cwsdw,50,0.024,hafeb,97,0.16,iufkr,48,0.493,nkufz,71,0.788,chown,31,0.594,howss,37,0.046,hmjpt,20,0.515,rwgeq,66,0.357,vksbq,65,0.862,qftch,35,0.934,ffmqp,52,0.051,ompad,52,0.678,taeaz,79,0.531,ydelw,95,0.89,cipma,99
63,0.948,wjoan,96,0.581,fgssc,57,0.108,ynesr,35,0.708,zaawu,34,0.514,erinp,42,0.675,umrbt,30,0.353,eejbr,84,0.359,hvciw,4,0.36,cvbpt,12,0.984,ifngg,48,0.363,aoeky,62,0.218,gkyqf,10,0.961,satew,41,0.69,cenip,3,0.55,yydqn,76,0.996,gmkrq,58,0.342,mycje,57,0.506,vriod,69,0.647,mtxvz,93,0.711,gncrz,8,0.319,gzaps,0,0.526,gawib,52,0.286,mahiw,62,0.196,bfrtw,90,0.811,tbajf,55,0.383,snyvu,61,0.42,vhlgo,9,0.127,erdlc,34,0.793,bwrvn,82,0.674,aypmq,92,0.019,rnjsk,32,0.871,zyefx,68,0.018,vfjdi,74
28,0.555,tkwwz,65,0.608,nsixe,45,0.3,wtsmd,3,0.371,uhkow,85,0.01,bvveq,37,0.785,ryquo,56,0.453,pgptj,16,0.808,xjhzx,91,0.091,chklh,24,0.966,lmcsp,61,0.597,vxtom,52,0.248,ltebd,30,0.371,fndhy,49,0.196,hgfla,89,0.607,eooql,97,0.437,fvyrq,1,0.03,bavhz,47,0.718,ksgim,90,0.97,mkaiv,25,0.719,carjd,81,0.417,zjgyz,50,0.884,hjivr,66,0.611,tbtom,8,0.238,fvvaq,78,0.791,psdix,95,0.409,dtxcf,30,0.797,mbcbb,12,0.29,zxgqk,53,0.167,dtlzk,58,0.235,nzcuy,82,0.154,ybnil,95,0.034,begad,24,0.279,nlebj,94
61,0.539,mvfqh,25,0.565,pehow,78,0.797,ydnik,82,0.273,jmkra,2,0.248,tusps,1,0.267,ebpnr,94,0.167,kgeou,40,0.044,eibzb,33,0.671,bcdrh,96,0.135,yihtr,37,0.617,qzdzr,53,0.237,norqu,7,0.753,tmaht,51,0.528,isqzl,18,0.414,qfpmj,41,0.153,lniee,10,0.014,fcrkn,90,0.039,dolfo,74,0.137,pzlza,70,0.882,ibmub,64,0.893,vbqon,28,0.434,rgidp,25,0.972,xnvob,92,0.709,jcwkm,72,0.829,ivlln,95,0.841,qnqay,0,0.976,xcdxz,28,0.976,ghbsj,90,0.934,sydmh,62,0.157,wuvie,77,0.359,spqxt,45,0.881,dedzc,52,0.294,qiado,96
28,0.065,eiqom,88,0.313,buxzw,98,0.059,uyhjn,16,0.347,cbivy,49,0.332,dilcc,39,0.505,qftxc,5,0.962,xrrzk,90,0.18,fttmn,20,0.512,qrpgh,44,0.838,yacim,45,0.713,mzpin,83,0.245,pyern,95,0.541,iqpxj,17,0.731,mdrgf,89,0.514,qecff,9,0.725,oznlj,74,0.375,afipl,69,0.149,vxked,24,0.809,wqrva,20,0.207,vvjut,65,0.546,tpwjr,40,0.527,alzhb,42,0.491,laijn,84,0.448,ejsju,12,0.049,wwaxp,94,0.158,xpkya,37,0.37,zjjuz,39,0.95,mugbj,20,0.103,ldkiv,39,0.905,bfkyu,19,0.986,cxtzw,67,0.963,sngdp,73,0.328,oadie,48
6,0.195,baqbj,8,0.977,iqxfv,16,0.254,fcwej,36,0.811,zzqmp,90,0.058,ugtbk,9,0.51,ghjpq,71,0.765,dposc,18,0.202,ephqo,20,0.377,ixjgj,40,0.122,vtaah,93,0.29,orvdd,56,0.21,abrli,81,0.179,ddhcm,92,0.851,zelnp,43,0.573,wutgk,53,0.548,qevpa,55,0.308,bbvht,39,0.595,yumbg,63,0.546,rqzte,22,0.626,fnvux,44,0.853,xxxan,27,0.746,rgiig,67,0.07,lytoe,8,0.694,jhkiq,51,0.265,mstvb,42,0.564,wrulr,37,0.42,qecph,19,0.384,yziak,90,0.019,uglyc,11,0.936,wsain,32,0.812,guyyw,50,0.379,zwdpm,56,0.405,cecpc,23
11,0.339,ypzjf,40,0.967,bljas,82,0.015,tfkzl,7,0.283,bvrir,66,0.718,ygilz,16,0.08,limyu,65,0.919,rjzzp,74,0.099,tethi,15,0.429,sqcsd,23,0.8,glaoj,51,0.081,vvxxg,14,0.147,tvsav,89,0.874,aspuf,51,0.675,uhfwb,7,0.733,sgoqv,59,0.14,ildrf,46,0.506,fnhmz,74,0.107,yfkui,89,0.085,inkrs,66,0.414,itbwr,94,0.818,axygs,55,0.271,imyem,66,0.127,lqend,71,0.191,vqzsa,15,0.394,wmpeb,78,0.793,lwvsp,49,0.056,hjjug,99,0.406,rmlat,13,0.495,jxvse,34,0.871,zjgaq,92,0.014,gwqwa,23,0.014,aodni,35,0.181,bvwdg,78
2,0.256,zrhri,97,0.435,jvajh,41,0.345,ujpdo,76,0.039,jhkhb,9,0.822,fhfxl,10,0.547,avcdt,23,0.784,pingv,62,0.369,vnbml,23,0.793,dlipj,31,0.438,xnewn,79,0.117,ohpuw,14,0.421,mxttm,69,0.997,urdhh,33,0.381,ajnuf,97,0.76,cqofu,55,0.308,tpbfp,72,0.007,rejfx,68,0.978,zfvxb,79,0.029,edzph,11,0.556,iholv,70,0.669,qmypu,76,0.245,jzuwi,36,0.859,iyuuq,52,0.314,javuf,73,0.36,dsbtz,80,0.255,aaany,22,0.596,jahie,80,0.091,gztpf,0,0.928,rhvqx,40,0.486,vqywa,52,0.86,aqlbq,15,0.829,nrret,35,0.513,xbnke,88
8,0.263,dvzbc,20,0.16,zaipp,66,0.626,adymp,69,0.997,ettnz,48,0.852,znokp,12,0.069,zbbnd,89,0.823,muiqc,11,0.392,bijzk,24,0.507,ewtyl,49,0.466,eojps,17,0.601,drjwf,79,0.727,acxua,35,0.888,dtxcf,46,0.186,qetor,77,0.773,ocoon,15,0.575,absuh,90,0.103,ofsts,32,0.546,kpsup,61,0.55,piecd,9,0.153,isrnj,34,0.702,hlayn,34,0.527,zgasq,19,0.538,lpbjs,10,0.419,ifibr,59,0.333,kvipg,43,0.063,dylxg,81,0.429,ebeom,88,0.901,tbffo,97,0.392,daksf,57,0.368,xkqou,26,0.081,jlbph,11,0.133,ksivm,50,0.332,bmmai,39
17,0.969,hfvpv,54,0.646,eswvb,12,0.204,sfqld,4,0.072,xagqw,74,0.374,mnxlb,24,0.894,xwavq,5,0.146,rocnn,96,0.613,jjiat,16,0.66,achhd,87,0.045,mwtyf,91,0.893,pxyjb,31,0.496,xfkvd,10,0.756,makco,22,0.792,pbvpf,55,0.545,kqmuy,12,0.174,sabnr,78,0.163,axdrl,1,0.999,fhsed,72,0.338,navju,16,0.025,csziq,89,0.477,muvdt,57,0.122,jjejp,70,0.652,cbgkg,44,0.98,ezvqy,53,0.759,pyocd,77,0.354,alynh,31,0.027,tttxh,53,0.552,bjyix,23,0.342,cliuf,20,0.189,yshms,51,0.333,kvurw,32,0.563,zicst,49,0.419,fdbbl,71
96,0.668,eqfag,46,0.303,jsrnj,34,0.499,armwf,58,0.817,cmwwy,5,0.712,gvlfv,8,0.423,mfnut,13,0.193,ojszj,24,0.572,pgnwt,68,0.768,wgpeh,76,0.242,kqeqy,34,0.915,vdjig,41,0.602,nmwpd,8,0.18,lqsgv,69,0.012,rczef,65,0.156,dkxeh,20,0.463,crend,58,0.84,feqkx,74,0.294,oasgf,18,0.747,jerxj,5,0.809,shpqd,21,0.111,labys,67,0.43,kjgni,9,0.533,qgpcq,50,0.12,kwjhk,54,0.578,jcrmt,21,0.645,oyckl,63,0.145,ppfdi,26,0.417,xrfhy,80,0.054,mgkwh,73,0.628,owecf,37,0.086,ssvey,44,0.03,nwwor,44,0.93,hvlnl,49
77,0.734,najqm,31,0.202,gqfze,75,0.106,xvigh,3,0.626,vxqji,91,0.114,cknkl,60,0.181,vuyla,95,0.374,gajlr,29,0.56,vobik,74,0.928,wjqgp,89,0.296,qucdx,26,0.384,pioxd,58,0.651,rpeja,39,0.234,mwjjl,20,0.481,dkfao,54,0.06,tmsim,26,0.853,nkkhu,62,0.94,yyqud,24,0.983,flvad,69,0.763,swgny,10,0.187,ocbpf,8,0.881,kbtjk,57,0.144,pflfp,59,0.55,gfmii,69,0.827,tsayk,38,0.184,kgiyv,2,0.669,iunli,80,0.354,hoczg,77,0.917,vrcvh,29,0.141,qrlzg,14,0.868,tqedt,51,0.755,hkmwv,59,0.03,njlsz,6,0.049,rxsky,13
71,0.779,muwtc,82,0.797,vjvto,94,0.941,ssbyi,39,0.334,ztpky,27,0.839,rzgvc,36,0.003,syhqr,16,0.273,qadmp,56,0.101,wnepd,78,0.076,vvwtn,64,0.454,jmodp,16,0.458,ouzrq,92,0.609,nvitr,98,0.621,xagoe,98,0.779,ofwtk,11,0.443,wcrll,92,0.21,angru,56,0.368,etune,91,0.149,vvngd,5,0.211,mvqbd,14,0.377,drden,56,0.461,axave,45,0.291,elbzk,25,0.834,ecxlr,14,0.486,xqjki,94,0.188,vpxym,62,0.255,otfbz,54,0.412,xgrvk,19,0.744,sqwqx,66,0.518,uagww,52,0.501,ygkpw,26,0.94,zisbo,51,0.525,fjdwu,24,0.976,fodvp,51
37,0.062,pqbxm,99,0.43,rvfod,93,0.039,vgikc,94,0.764,ecpmt,51,0.846,zjnrt,39,0.83,poqdc,48,0.26,ihpjh,10,0.505,ozexq,0,0.748,lfwnm,39,0.948,jzhfq,54,0.562,niyvv,5,0.228,tqnqa,62,0.286,xjkpc,4,0.58,virnn,2,0.128,clizv,83,0.218,euymt,80,0.004,vcwsw,64,0.442,sgzzr,81,0.359,ogbsr,26,0.634,exkna,57,0.132,xlnim,25,0.444,yqqcw,79,0.943,lopzl,54,0.37,wediz,13,0.776,hxfsk,56,0.33,sronc,31,0.331,pailg,43,0.422,esfbg,61,0.978,qojjk,95,0.386,vpfib,79,0.123,hqdmn,7,0.111,pahom,34,0.546,wmwui,2
50,0.654,oeijl,73,0.162,rxoso,28,0.282,gprsb,33,0.603,hfjvh,28,0.834,qctix,49,0.557,eixrq,78,0.136,cygon,63,0.484,bvkod,30,0.082,zdzxa,76,0.173,xqcjr,54,0.347,mvoxn,95,0.548,slwnv,55,0.9,vukxb,71,0.723,ogicg,5,0.154,nicmw,49,0.396,zzaig,14,0.006,dcnhp,96,0.427,qdvpu,30,0.907,ivyac,17,0.343,rdbum,55,0.989,qncon,86,0.556,gkahd,92,0.891,cwkqk,47,0.377,nrgrb,31,0.493,fasor,17,0.077,bguem,77,0.417,jcsns,58,0.45,kowvh,68,0.153,ongkm,93,0.701,swlro,61,0.313,deshi,51,0.247,ehhvn,83,0.159,scdxp,7
55,0.127,njdyo,72,0.688,zbekg,61,0.928,ummmf,70,0.043,bktxg,23,0.189,fouog,17,0.242,wxxfu,57,0.793,lauyc,39,0.16,khfjz,83,0.445,itvct,36,0.018,cqday,84,0.031,iwims,13,0.731,ckmge,42,0.275,ywvgu,81,0.174,ezbqa,53,0.574,tcfga,45,0.279,aktcw,61,0.072,qwgam,7,0.076,yzhrn,13,0.188,ahdml,24,0.204,zrjsh,82,0.749,hnwjb,41,0.265,mjjve,11,0.446,ydqwr,53,0.628,fshlv,50,0.62,stulg,46,0.592,hhrcz,79,0.986,cbzvo,43,0.201,vkufy,89,0.95,ifwpv,94,0.996,ovccv,73,0.672,hsqji,78,0.171,jlmkc,15,0.359,acdtb,10
89,0.132,bgpzi,26,0.66,eicww,82,0.559,gvdnq,83,0.762,iqoqp,44,0.057,cxunn,55,0.838,bfuoa,40,0.711,fctdc,15,0.871,zeooc,4,0.969,alsrr,50,0.619,ldmtw,55,0.605,icppe,8,0.641,uphmy,11,0.212,iyqwy,39,0.945,tiqnk,56,0.982,euomp,79,0.811,chkip,7,0.376,gctor,33,0.253,nhbwf,59,0.267,nlmid,74,0.142,ctmah,68,0.004,lzgwk,17,0.726,lajis,78,0.66,cykob,66,0.497,vrqmg,63,0.894,aimbr,72,0.138,zcxjv,81,0.929,tpmhm,13,0.839,oqkvw,51,0.755,kwsto,39,0.506,dqnja,18,0.351,opppe,26,0.517,rccnf,4,0.349,odpyt,77
70,0.044,dozvf,11,0.752,glbhd,12,0.736,bzvpe,43,0.171,rghif,3,0.095,jjazp,47,0.339,nhqlw,3,0.487,mfssf,72,0.832,xoepj,98,0.461,wceru,24,0.513,kfxus,24,0.722,pcdjz,87,0.863,qhvow,54,0.55,lsdwh,68,0.931,soewl,61,0.749,xghrd,13,0.109,acjtj,81,0.508,wgixa,16,0.481,irrdn,81,0.549,hrwyk,93,0.837,rdynn,90,0.899,exjtt,43,0.232,wdqhm,55,0.167,ikhmk,54,0.278,nrpnc,79,0.184,neboq,34,0.258,uknsr,93,0.788,woths,55,0.738,vqhfh,24,0.569,yxkjr,78,0.416,hnnvw,57,0.391,liosm,20,0.774,btzkb,27,0.946,tdwdb,59
86,0.029,hpygf,42,0.175,jhllf,32,0.411,ujkjx,38,0.326,vxiub,5,0.686,cguut,11,0.832,pcoyz,40,0.537,cfbik,28,0.077,hzmfj,15,0.662,zhwnx,39,0.28,lvnpf,40,0.424,adzdv,8,0.327,zvsep,42,0.186,sewex,13,0.525,ciznk,21,0.954,hoffc,18,0.624,vdqgt,5,0.491,leske,24,0.104,mpbuj,3,0.417,megul,2,0.185,kmqgo,20,0.039,mfrib,52,0.939,cyzqy,14,0.895,exgdn,59,0.975,ggojg,87,0.952,knqrw,30,0.528,ohyel,98,0.552,fqtcm,51,0.279,gjcva,55,0.0,jhsdp,44,0.002,tttsd,4,0.762,rdfwn,52,0.449,vmxqy,87,0.987,ouhyk,54
19,0.238,iogqd,27,0.193,ivsyq,69,0.933,logrk,97,0.551,jnttt,57,0.318,zkrym,80,0.537,ktwak,79,0.551,aedwr,30,0.093,cjifb,89,0.536,ydhcc,17,0.301,tiejx,40,0.219,oabtj,79,0.297,sfuya,63,0.642,gxgsi,51,0.591,fqvlg,9,0.564,jpydp,38,0.14,ojvjc,4,0.099,nivrt,17,0.218,ihmaj,18,0.413,ljmkf,24,0.586,tmnzh,92,0.106,tvtuz,94,0.985,uzyic,84,0.465,duyny,29,0.636,letou,54,0.695,xvovl,24,0.735,gbutw,70,0.917,bxjpo,19,0.47,ajjyk,88,0.472,savdg,94,0.825,pxnae,36,0.346,cezvo,89,0.242,uhcwh,38,0.983,eflxe,68
39,0.595,srarv,95,0.366,vaujm,83,0.283,fpebf,32,0.624,caenk,29,0.599,cvbyq,5,0.307,djjsw,99,0.251,choxm,94,0.224,cxblk,15,0.354,vgtko,26,0.167,jesud,37,0.448,kzvjz,97,0.26,jqgjr,21,0.344,elztx,3,0.069,jmykt,44,0.463,enzrb,59,0.228,urhlg,4,0.058,okvpf,15,0.374,wxbgw,28,0.444,uaslh,41,0.693,essri,8,0.069,ppmht,55,0.183,tbeuf,80,0.731,vpesh,90,0.257,ljuow,75,0.364,njhzm,41,0.609,ecdgr,65,0.357,fjatg,25,0.502,ajxdl,28,0.332,iivrx,50,0.202,cymbi,80,0.932,lxfyf,14,0.564,wiqam,48,0.888,wbwpq,89
15,0.55,ynfyw,21,0.883,zagux,24,0.022,ijouy,30,0.307,hdidv,15,0.881,wejpn,59,0.476,ndfmh,19,0.536,jcixm,57,0.239,shtwa,25,0.618,jtixf,43,0.645,syrsz,19,0.3,dahti,35,0.174,iikim,80,0.129,qusxb,40,0.035,xprcd,0,0.559,hnvwj,13,0.513,vgiys,88,0.375,tyhbt,45,0.131,degsg,56,0.548,rcllz,60,0.141,apshl,74,0.097,fqdfu,27,0.266,elaif,85,0.611,lqkws,80,0.513,mcpse,82,0.696,irugx,4,1.0,sunwl,37,0.991,ghxbv,36,0.254,zssry,4,0.555,ksodm,51,0.242,zgdlz,81,0.073,ueudk,97,0.477,ofycz,29,0.194,hlxom,38
88,0.484,aprve,36,0.376,jpypf,22,0.289,ewmfl,92,0.141,jqrty,90,0.765,ydqtt,66,0.128,qdgie,1,0.122,wcgog,5,0.407,dwkkv,66,0.491,qtkqs,76,0.814,cwozu,99,0.294,qloey,10,0.611,gvyyi,26,0.667,tqldh,55,0.535,wydil,2,0.324,qmqey,95,0.577,bhavz,44,0.984,etfjx,73,0.983,svtzs,44,0.801,qpovt,84,0.825,pftwj,9,0.257,qwfiz,77,0.334,imgtx,45,0.588,wqwvw,1,0.505,qzpiw,90,0.727,gnfxo,44,0.618,txgnu,6,0.848,muwxx,7,0.743,sljoq,3,0.588,oorvo,24,0.608,wlbim,17,0.993,pldfg,20,0.493,dfjwd,24,0.197,izvub,48
